;text;sentiment;preprocessed_text
140;@curryspcworld trying to find item through product number but nothing showing on website, can you help?;-1;trying to find item through product number but nothing showing on website can you help
141;See SouthamptonDThomson Computers being sold at curry? TheLaw TheLawCourts  ;-1;See SouthamptonDThomson Computers being sold at curry TheLaw TheLawCourts
142;See SouthamptonDThomson Computers sold at Curry? ideal for doing Financial on  ;-1;See SouthamptonDThomson Computers sold at Curry ideal for doing Financial on
143;"#Currys - 10 off Tall Large Kitchen Appliances 249+. - #PromoCode -&gt;  ";0;off Tall Large Kitchen Appliances
144;New post (Five years ago Stephen Curry's 54-point game helped redefine the NBA | Sport) has been published on ReportEyes - ;0;New post Five years ago Stephen Curry s point game helped redefine the NBA Sport has been published on ReportEyes
145;@TeamKnowhowUK @LenardTheBooty Or you could just replace with a safe nutri bullet Currys, how bout that?;1;Or you could just replace with a safe nutri bullet Currys how bout that
146;@TeamKnowhowUK @LenardTheBooty Or you could just replace with a safe nutri bullet Currys, how bout that?;1;Or you could just replace with a safe nutri bullet Currys how bout that
147;Five years ago Stephen Curry's 54-point game helped redefine the?BA ;1;Five years ago Stephen Curry s point game helped redefine the BA
148;@curryspcworld I?e had my new laptop just over a week. Internet kept cutting out. Did a system restore. Now there? a boot failure which won? fix. This isn? right.;-1;I e had my new laptop just over a week Internet kept cutting out Did a system restore Now there a boot failure which won fix This isn right
149;"Grab big deals on the latest tech with Currys and PC World! 
What are you waiting for? If you're updating to the 21st century, make sure Currys and PC World is your first stop! ";1;Grab big deals on the latest tech with Currys and PC World What are you waiting for If you are updating to the 21st century make sure Currys and PC World is your first stop
150;"#Currys  10 off Tall Large Kitchen Appliances 249+. - #Coupon -&gt; ";0;off Tall Large Kitchen Appliances
151;@curryspcworld @UPSHelp I haven? ordered anything from Currys and the UPS ref# isn? valid. Are you aware of this type of spam? ;-1;I haven ordered anything from Currys and the UPS ref isn valid Are you aware of this type of spam
152;"At @curryspcworld there are huge #SALES on #Gaming and #Electronics, like saving 32.00 on this @microsoft X-Box One and Games Bundle - now there's something to do when you're snowed in! 
#XBoxOne #Gamer #Snow #BeastFromTheEast
";0;At there are huge on and like saving on this X Box One and Games Bundle now there has there is something to do when you are snowed in
153;In curry? pc world Luton, been stood here for the last 15mins, no staff present to help #curryspcworld;-1;In curry pc world Luton been stood here for the last 15mins no staff present to help
154;"At @curryspcworld there are huge #SALES on #Gaming and #Electronics, like saving 32.00 on this @microsoft X-Box One and Games Bundle - now there's something to do when you're snowed in! 
#XBoxOne #Gamer #Snow #BeastFromTheEast
";1;At there are huge on and like saving on this X Box One and Games Bundle now there has there is something to do when you are snowed in
155;@curryspcworld talk about great customer service.... I think NOT;-1;talk about great customer service I think NOT
156;".@curryspcworld your Goji ""truly wireless"" headphones are a complete and utter waste of money. They can't hold a charge and I can never use them. Only a month or so old too. Avoid these headphones like the plague.";-1;your Goji truly wireless headphones are a complete and utter waste of money They cannot hold a charge and I can never use them Only a month or so old too Avoid these headphones like the plague
157;Passionate about the latest innovations? So be a Store Support Colleague  Currys PC World @JobsatDC #Bedford Info/Apply:  #RetailJobs #SalesJobs #BedfordJobs ;1;Passionate about the latest innovations So be a Store Support Colleague Currys PC World Info Apply
158;@Mary1002 @TeamKnowhowUK Thanks Mary. I have untold problems with Currys in the past. Why would I troubleshoot something that smells like it? going to catch fire? I? not going to touch it!;-1;Thanks Mary I have untold problems with Currys in the past Why would I troubleshoot something that smells like it going to catch fire I not going to touch it
159;@curryspcworld why is your ?now How Support Agreement a load of rubbish? The policy says ?e?l fix it or replace it. It? been 1 month since it was declared unrepairable. 4 phones calls per week, being bounced to department to department! What kind of servi;-1;why is your now How Support Agreement a load of rubbish The policy says e l fix it or replace it It been month since it was declared unrepairable phones calls per week being bounced to department to department What kind of servi
160;"
So @curryspcworld, how do you manage to get pics of 2 different ovens on your website and your ebay sale?";-1;So how do you manage to get pics of different ovens on your website and your ebay sale
161; @curryspcworld Cars have been driving up and down our street all morning and your delivery driver has refused to drive down it for no good reason. He was literally metres away from our door when he called to say he wasn't going any further. I've taken the;-1;Cars have been driving up and down our street all morning and your delivery driver has refused to drive down it for no good reason He was literally metres away from our door when he called to say he was not going any further I have taken the
162;Life tip - If you're ever going to currys, harvey norman etc wear the dodgiest looking clothes you have. They'll be watching you like a hawk incase you're robbing anything and you'll have someone on hand to help you in seconds;-1;Life tip If you are ever going to currys harvey norman etc wear the dodgiest looking clothes you have They ll be watching you like a hawk incase you are robbing anything and you shall you will have someone on hand to help you in seconds
163;Great #onlineretail tactics from @curryspcworld: display a Price Promise when the user copies the name of a product!  ;1;Great tactics from display a Price Promise when the user copies the name of a product
164;Steph Currys Mom is  A Freak! Rare Steph Curry Interview  via @YouTube   You see why Steph and Seth Curry have it together.  Their mom is a focused, humble, good person that is totally committed to being a great mom and human being.  She inspires me!;1;Steph Currys Mom is A Freak Rare Steph Curry Interview via You see why Steph and Seth Curry have it together Their mom is a focused humble good person that is totally committed to being a great mom and human being She inspires me
165;@curryspcworld im going to collect a laptop reserved online and I?e just had a call saying their pre set up and I have to pay an extra 40, I? buying two laptops so 80 in total. That? not very fair considering I didn? ask for it and doesn? state online? Ov;-1;im going to collect a laptop reserved online and I e just had a call saying their pre set up and I have to pay an extra I buying two laptops so in total That not very fair considering I didn ask for it and doesn state online Ov
166;Voucher Code Save 5% at Currys PC World at Currys PC World  - Save 5% on all Home Audio and;1;Voucher Code Save at Currys PC World at Currys PC World Save on all Home Audio and
167;"Beat the #beastfromtheeast with a@Dyson Hot + Cool Heater! Get yours here;  ";1;Beat the with a Dyson Hot Cool Heater Get yours here
168;"Beat the #beastfromtheeast with a @Dyson Hot + Cool Heater! Get yours here;  ";1;Beat the with a Hot Cool Heater Get yours here
169;"Beat the #beastfromtheeast with a @Dyson Hot + Cool Heater! Get yours here;  ";1;Beat the with a Hot Cool Heater Get yours here
170;"Beat the #beastfromtheeast with a @Dyson Hot + Cool Heater! Get yours here;  ";1;Beat the with a Hot Cool Heater Get yours here
171;@curryspcworld @Dyson If I could afford it ;-1;If I could afford it
172;"@curryspcworld @Dyson Only costs 300 to 400  when you could get a 15 space heater instead!

No hate towards you @curryspcworld just Dyson's stuff is really overpriced sometimes  Much Love ";1;Only costs to when you could get a space heater instead No hate towards you just Dyson s stuff is really overpriced sometimes Much Love
173;Planning a kitchen revamp? Take our tips to get your dream #kitchen, without overspending:  ;1;Planning a kitchen revamp Take our tips to get your dream without overspending
174;@curryspcworld Good news! since your staff in plymouth store were more intersted in talking about last nights TV rather than serving customers - including me, i've just gone and spent the thick end of 3K with one of your competitors on fridge / freezer an;-1;Good news since your staff in plymouth store were more intersted in talking about last nights TV rather than serving customers including me i ve just gone and spent the thick end of 3K with one of your competitors on fridge freezer an
175;"@curryspcworld in your shop in the Trafford centre. I make a stock enquiry. Wait ten minutes. Shop assistant yells across the shop ?eah mate. We ain? got no component cables innit.
This is why I try to avoid shopping with you.";-1;in your shop in the Trafford centre I make a stock enquiry Wait ten minutes Shop assistant yells across the shop eah mate We ain got no component cables innit This is why I try to avoid shopping with you
176;Planning a kitchen revamp? Take our tips to get your dream #kitchen, without overspending:  ;1;Planning a kitchen revamp Take our tips to get your dream without overspending
177;@curryspcworld I have emailed your customer care team but still had no reply. I need to know if I can return a laptop for an exchange, the box has been opened but the laptop has not been used, but it? not suitable for what I need;-1;I have emailed your customer care team but still had no reply I need to know if I can return a laptop for an exchange the box has been opened but the laptop has not been used but it not suitable for what I need
178;Escape from the cold winter weather and lose yourself in the magic of VR thanks to Currys PC World  ;1;Escape from the cold winter weather and lose yourself in the magic of VR thanks to Currys PC World
179;EXCLUSIVE - Gallagher Retail Park home to the no.1 @curryspcworld in the UK (acc to @DCSebJ ) has been put up for sale for 180m by @QuadrantEstates and KKR via @wilinsonwilliams and @JLLUKRetail. story and number from @JamesChildEG -  ;1;EXCLUSIVE Gallagher Retail Park home to the no in the UK acc to has been put up for sale for 180m by and KKR via and story and number from
180;EXCLUSIVE - Gallagher Retail Park (home to the no.1 @curryspcworld in the UK acc to @DCSebJ ) has been put up for sale for 180m by @QuadrantEstates and KKR via Wilkinson Williams and @JLLUKRetail. story and number from @JamesChildEG -   ;1;EXCLUSIVE Gallagher Retail Park home to the no in the UK acc to has been put up for sale for 180m by and KKR via Wilkinson Williams and story and number from
181;@RobertDyas Did you know that  redirects to @curryspcworld website?;1;Did you know that redirects to website
182;EXCLUSIVE - Gallagher Retail Park (home to the no.1 @curryspcworld in the UK acc to @DCSebJ ) has been put up for sale for 180m by @QuadrantEstates and KKR via Wilkinson Williams and @JLLUKRetail. story and number from @JamesChildEG -   ;1;EXCLUSIVE Gallagher Retail Park home to the no in the UK acc to has been put up for sale for 180m by and KKR via Wilkinson Williams and story and number from
183;@curryspcworld @TeamKnowhowUK having real issues with your repairs department and one of your engineers. My wife and I have wasted numerous hours trying to sort an issue that should have been sorted. Can someone  please contact me.;-1;having real issues with your repairs department and one of your engineers My wife and I have wasted numerous hours trying to sort an issue that should have been sorted Can someone please contact me
184;@JohnWallGOAT Lmao walls a beast but currys better by a long shot;1;Lmao walls a beast but currys better by a long shot
185;#curryspcworld what a set of jokers, they nearly blow my house up with a gas leak they caused by a incorrectly fitted hob and offer me 50!;-1;what a set of jokers they nearly blow my house up with a gas leak they caused by a incorrectly fitted hob and offer me
186;"Beat the #beastfromtheeast with a @Dyson Hot + Cool Heater! Get yours here;  ";0;Beat the with a Hot Cool Heater Get yours here
187;@DPD_UK I've spent 8 hours of my life speaking to your unhelpful customer service alongside the clueless staff @curryspcworld  - I don't think you can help;-1;I have spent hours of my life speaking to your unhelpful customer service alongside the clueless staff I do not think you can help
188;"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones &amp; Smart Tech {} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinit ";0;Get your Kitchen Appliances TV Entertainment Cameras Audio Computing PC Accessories Phones Smart Tech From CURRYS PC WORLD
189;"@Carlicus Hi,

As the box has been opened we are unable to accept the item back as a return.

This is as per our terms and conditions - 

AG";1;Hi As the box has been opened we are unable to accept the item back as a return This is as per our terms and conditions AG
190;I still need to go to currys to have them look at my laptop ;-1;I still need to go to currys to have them look at my laptop
191;@LizzieMFrost It? just been full of unfortunate goings-on. I go to Currys to get my data recovered only to discover someone had a way to do it myself. Whilst I? at Currys it starts to snow which I do not like to drive in. And I? sure the list goes on. Hop;-1;It just been full of unfortunate goings on I go to Currys to get my data recovered only to discover someone had a way to do it myself Whilst I at Currys it starts to snow which I do not like to drive in And I sure the list goes on Hop
192;@DirtyChickaNEW Do u like hot currys?;0;Do u like hot currys
193;"Currys and ""know how""
Well taking this insurance out with currys on my washing machine DONT BOTHER. 33 days without a washing machine.";-1;Currys and know how Well taking this insurance out with currys on my washing machine DONT BOTHER days without a washing machine
194;"Currys have got an offer on where you can get a 60"" HD Sony TV for 750 but you get 75 off the price for every game West Brom win between now and the end of the season. 

So you can get a 750 TV for only 750.

#wwfc
#wbafc
#avfc";1;Currys have got an offer on where you can get a HD Sony TV for but you get off the price for every game West Brom win between now and the end of the season So you can get a TV for only
195;"@CARUSOEUGENIA That's right!

Further details can be found here;



Richard";1;That s right Further details can be found here Richard
196;@curryspcworld you sent me the wrong item today and yet customer services tell me that I now have to wait a week to receive my correct item?;-1;you sent me the wrong item today and yet customer services tell me that I now have to wait a week to receive my correct item
197;When ppl started hopping on Currys dick ;-1;When ppl started hopping on Currys dick
198;Massive slow handclap to @curryspcworld for sending me a damaged radiator, forbidding me to use it and telling me you can't replace it. Are you trying to freeze your customers into submission?;-1;Massive slow handclap to for sending me a damaged radiator forbidding me to use it and telling me you cannot replace it Are you trying to freeze your customers into submission
199;Massive slow handclap to @curryspcworld @TeamKnowhowUK for sending me a damaged radiator, forbidding me to use it and telling me you can't replace it. Are you trying to freeze your customers into submission?;-1;Massive slow handclap to for sending me a damaged radiator forbidding me to use it and telling me you cannot replace it Are you trying to freeze your customers into submission
200;#Victory #breakfast! Remember, just because your #food taste good doesn't mean it can't be healthy.  #AyeshaCurry #RecipeOfTheDay;-1;Remember just because your taste good does not mean it cannot be healthy
201;"shitty service @curryspcworld 
do the right thing. ";-1;shitty service do the right thing
202;@NBALiveSociety @BPortistime @TreyBurke @dnwaba0 @StephenCurry30 @EASPORTSNBA Ohhhhh be interesting to see what Chef Currys rating will be any sightings yet? ;1;Ohhh be interesting to see what Chef Currys rating will be any sightings yet
203;@CapelaSZN You cant guard Currys range tbh;1;You cant guard Currys range tbh
204;Hi *amazing* @Space_Station from @CRSD_HMS Mr. Curry? Science Classroom ISS-Above in Holland MS (Philly), PA USA 258.5 mi @CarlSaganRox @NASA_Johnson#issabove ;1;Hi amazing from Mr Curry Science Classroom ISS Above in Holland MS Philly PA USA mi
205;Massive slow handclap to @curryspcworld @TeamKnowhowUK for sending me a damaged radiator, forbidding me to use it and telling me you can't replace it. Are you trying to freeze your customers into submission?;-1;Massive slow handclap to for sending me a damaged radiator forbidding me to use it and telling me you cannot replace it Are you trying to freeze your customers into submission
206;I could quite easily live off currys and roast dinners for the rest of my life;-1;I could quite easily live off currys and roast dinners for the rest of my life
207;not one to complain having worked in retail myself, but the service yesterday in @curryspcworld really wasn't the greatest on two visits to the store yesterday both times were majorly below par and it wasn't like I was intending to spend 5 it was a considerable amount. #notgood;-1;not one to complain having worked in retail myself but the service yesterday in really was not the greatest on two visits to the store yesterday both times were majorly below par and it was not like I was intending to spend it was a considerable amount
208;Shocking service @curryspcworld highgate ?oin the queue and wait all i want to do is a refund. No urgency from management to see customers efficiently. ;-1;Shocking service highgate oin the queue and wait all i want to do is a refund No urgency from management to see customers efficiently
209;I thought the point of reserving something online would be that you? go to @curryspcworld and they? have it ready. WRONG! It just means some sales person makes endless calls to someone and you?e left waiting for 20 mins. Joke service.;-1;I thought the point of reserving something online would be that you go to and they have it ready WRONG It just means some sales person makes endless calls to someone and you e left waiting for mins Joke service
210;@moneysavvydaddy @ladygayle13 To thicken a recipe leave the lid off for last 2 hours. I've cooked joints of meat and a whole chicken it's fab. The bones just fell out of the chicken. We do beef stue, Currys, lasagne, you can get caserol mixtures aswel add;1;To thicken a recipe leave the lid off for last hours I have cooked joints of meat and a whole chicken it has it is fab The bones just fell out of the chicken We do beef stue Currys lasagne you can get caserol mixtures aswel add
211;"Sick of the cold? Pre-heat your home with a @nest Learning Thermostat  

It can even sense when you're no longer home and go into Eco mode to save #energy!  ";0;Sick of the cold Pre heat your home with a Learning Thermostat It can even sense when you are no longer home and go into Eco mode to save
212;"Sick of the cold? Pre-heat your home with a @nest Learning Thermostat  

It can even sense when you're no longer home and go into Eco mode to save #energy!  ";0;Sick of the cold Pre heat your home with a Learning Thermostat It can even sense when you are no longer home and go into Eco mode to save
213;"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones &amp; Smart Tech {} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinit ";0;Get your Kitchen Appliances TV Entertainment Cameras Audio Computing PC Accessories Phones Smart Tech From CURRYS PC WORLD
214;In carrickmines @curryspcworld appealing customer service;-1;In carrickmines appealing customer service
215;@curryspcworld @TeamKnowhowUK terrible service in carrickmines. No maanager with authority to make immediate decision;-1;terrible service in carrickmines No maanager with authority to make immediate decision
216;Please call +353861717022 @curryspcworld;-1;0
217;Just had this text. Obviously a scam as I? sure I haven? ordered anything from Currys. @curryspcworld ;-1;Just had this text Obviously a scam as I sure I haven ordered anything from Currys
218;"@RenzoUpNext If he stays with Warriors ppl are just gonna give him the ""he joined a 73 win team who lost in the finals"" garbage and he'll never get credit for being a beast. He can win 10 straight on warriors and ppl will hold it against him bc it's Curry";-1;If he stays with Warriors ppl are just gonna give him the he joined a win team who lost in the finals garbage and he shall he will never get credit for being a beast He can win straight on warriors and ppl will hold it against him bc it has it is Curry
219;"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones &amp; Smart Tech {} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinit ";0;Get your Kitchen Appliances TV Entertainment Cameras Audio Computing PC Accessories Phones Smart Tech From CURRYS PC WORLD
220;"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones &amp; Smart Tech {} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinit ";0;Get your Kitchen Appliances TV Entertainment Cameras Audio Computing PC Accessories Phones Smart Tech From CURRYS PC WORLD
221;"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones &amp; Smart Tech {} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinit ";0;Get your Kitchen Appliances TV Entertainment Cameras Audio Computing PC Accessories Phones Smart Tech From CURRYS PC WORLD
222;"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones &amp; Smart Tech {} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinit ";0;Get your Kitchen Appliances TV Entertainment Cameras Audio Computing PC Accessories Phones Smart Tech From CURRYS PC WORLD
223;"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones &amp; Smart Tech {} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinit ";0;Get your Kitchen Appliances TV Entertainment Cameras Audio Computing PC Accessories Phones Smart Tech From CURRYS PC WORLD
224;@curryspcworld so annoyed after waiting a week for my Mac book pro to have its data transferred, I pick it up today get it home and it? not working so have another 9 mile trip to do to take it back as adviced by the know how team one very angry customer;-1;so annoyed after waiting a week for my Mac book pro to have its data transferred I pick it up today get it home and it not working so have another mile trip to do to take it back as adviced by the know how team one very angry customer
225;@tippidelighted Narrowing what they sell might help. Right now they sell DJ/computer/electronic components/lighting/security/drones/gadgets/car stuff/aerial/phone/batteries/chargers/extensions. I'd like to see more emphasis on electronic parts. Shops like;-1;Narrowing what they sell might help Right now they sell DJ computer electronic components lighting security drones gadgets car stuff aerial phone batteries chargers extensions I had I would like to see more emphasis on electronic parts Shops like
226;The Currys - Hollow Bones;-1;The Currys Hollow Bones
227;@curryspcworld one very angry customer after waiting a week for my new Mac book pro to@have data transferred I pick it up today and it? not working so have to do another 9 Mile trip to take it back as adviced by the know how team so anouyed can? get there;-1;one very angry customer after waiting a week for my new Mac book pro to have data transferred I pick it up today and it not working so have to do another Mile trip to take it back as adviced by the know how team so anouyed can get there
228;"#Currys - 10% off Marked Price on All Built-in Appliances Over 349. - #PromoCode -&gt;  ";0;off Marked Price on All Built in Appliances Over
229;Massive slow handclap to @curryspcworld @TeamKnowhowUK for sending me a damaged radiator, forbidding me to use it and telling me you can't replace it. Are you trying to freeze your customers into submission?;-1;Massive slow handclap to for sending me a damaged radiator forbidding me to use it and telling me you cannot replace it Are you trying to freeze your customers into submission
230;@Rocketsfan101 @RJMartin3_ @SportsReports6 @HondoCowens I always go by start year so I thought you were talking about 15-16. Either way in 14-15 Harden didn't do anything historic warranting his mvp over currys so the point still stands;1;I always go by start year so I thought you were talking about Either way in Harden did not do anything historic warranting his mvp over currys so the point still stands
231;So I paid 60 pound for Currys to clean the dust out my laptop but nah they couldn't just tell me that was what was wrong with it;-1;So I paid pound for Currys to clean the dust out my laptop but nah they could not just tell me that was what was wrong with it
232;Bought new laptop from Curry? for my daughters birthday, to help with her GCSE? 37 days ago and now not working they won? replace because it? over 31 days old. Curry? disgustingly unhelpful  can? repair for 10 days, shouldn? need repairing as it? new!!! @curryspcworld;-1;Bought new laptop from Curry for my daughters birthday to help with her GCSE days ago and now not working they won replace because it over days old Curry disgustingly unhelpful can repair for days shouldn need repairing as it new
233;Oh and to top it off, now @curryspcworld just haven? bothered turning up today as they promised either....another day lost! Absolutely diabolical ;-1;Oh and to top it off now just haven bothered turning up today as they promised either another day lost Absolutely diabolical
234;@curryspcworld @TeamKnowhowUK I haven? ordered anything. Scam? ;-1;I haven ordered anything Scam
235;"@StuOrme Hi Stuart,

Please delete and disregard the message that you have received. This has not been sent from @curryspcworld

Richard";-1;Hi Stuart Please delete and disregard the message that you have received This has not been sent from Richard
236;@TeamKnowhowUK @curryspcworld Thanks, Richard.;1;0
237;@TeamKnowhowUK So 7 days outside of your cut off a brand new expensive product doesn? work and you can only repair it. That? is really poor! She now has nothing to work on combined with the fact her GCSE coursework is on it, very substandard product and s;-1;So days outside of your cut off a brand new expensive product doesn work and you can only repair it That is really poor She now has nothing to work on combined with the fact her GCSE coursework is on it very substandard product and s
238;I can't get it delivered and I can't collect it from a store, so how do I get it? @curryspcworld ;-1;I cannot get it delivered and I cannot collect it from a store so how do I get it
239;"@VivienneBroom @HP @HPSupport Apologies,

Full details of our returns policy can be found online, instore, and on your sales receipt.



Richard";-1;Apologies Full details of our returns policy can be found online instore and on your sales receipt Richard
240;"@TekMerc Afraid so,

Could I not tempt you with the mineral grey model?



Richard";-1;Afraid so Could I not tempt you with the mineral grey model Richard
241;@Anjum_Anand Just had The Spice Tailor fiery Goan curry, absolutely amazing flavours one of the best currys I?e ever had! Can? wait to try out the others;1;Just had The Spice Tailor fiery Goan curry absolutely amazing flavours one of the best currys I e ever had Can wait to try out the others
242;@curryspcworld when will the new LG 77 inch OLED C8 television be available please?;-1;when will the new LG inch OLED C8 television be available please
243;@DPD @curryspcworld do you think it's remotely possible that your drivers could possible follow the instructions for alternative delivery? Or do you just not bother to tell them?;-1;do you think it has it is remotely possible that your drivers could possible follow the instructions for alternative delivery Or do you just not bother to tell them
244;@curryspcworld @DPD_UK do you think it's remotely possible that your drivers could possible follow the instructions for alternative delivery? Or do you just not bother to tell them?;-1;do you think it has it is remotely possible that your drivers could possible follow the instructions for alternative delivery Or do you just not bother to tell them
245;This how Steph Currys first shot back inthe game after taking that nasty flip looked. ;1;This how Steph Currys first shot back inthe game after taking that nasty flip looked
246;@curryspcworld You've lost my order 'in transit' twice now.  3 times I've been to your store to pick it up - absolute joke.;-1;You ve lost my order in transit twice now times I have been to your store to pick it up absolute joke
247;Update on radiatorgate: the lovely Nino at @TeamKnowhowUK has helped me get a radiator tomorrow morning  Just really hope @curryspcworld are this responsive to anyone else left in the cold who might be more vulnerable and/or less gobby than me.;1;Update on radiatorgate the lovely Nino at has helped me get a radiator tomorrow morning Just really hope are this responsive to anyone else left in the cold who might be more vulnerable and or less gobby than me
248;Literally the worst experience with @curryspcworld Missing items, late delivery, faulty products lol you name it!;-1;Literally the worst experience with Missing items late delivery faulty products lol you name it
249;@anna_luise @TeamKnowhowUK @curryspcworld Is there anyone less gobby than you!;-1;Is there anyone less gobby than you
250;EXCLUSIVE - Gallagher Retail Park (home to the no.1 @curryspcworld in the UK acc to @DCSebJ ) has been put up for sale for 180m by @QuadrantEstates and KKR via Wilkinson Williams and @JLLUKRetail. story and number from @JamesChildEG -   ;0;EXCLUSIVE Gallagher Retail Park home to the no in the UK acc to has been put up for sale for 180m by and KKR via Wilkinson Williams and story and number from
251;"I Used to love my bank into which went all my University College salary Senior Lecturer salary After Tax my Building Society Savings account Bristol&amp;West Lloyds Prudential. They could not sell a Bent Blue Rabbit on Twitter Not even in a shop like Currys since 1980 Conservatives!?";-1;I Used to love my bank into which went all my University College salary Senior Lecturer salary After Tax my Building Society Savings account Bristol West Lloyds Prudential They could not sell a Bent Blue Rabbit on Twitter Not even in a shop like Currys since Conservatives
252;Update on radiatorgate: the lovely Nino at @TeamKnowhowUK has helped me get a radiator tomorrow morning  Just really hope @curryspcworld are this responsive to anyone else left in the cold who might be more vulnerable and/or less gobby than me.;1;Update on radiatorgate the lovely Nino at has helped me get a radiator tomorrow morning Just really hope are this responsive to anyone else left in the cold who might be more vulnerable and or less gobby than me
253;I worked University Research College Teaching Currys Motorola Structural Soils Programming Courses Established Supervision Union member helped Church Overseas Aid Peace International UK England UN So you can stick Conservative Party with a Pig Sticker as God's sheet told Peter;-1;I worked University Research College Teaching Currys Motorola Structural Soils Programming Courses Established Supervision Union member helped Church Overseas Aid Peace International UK England UN So you can stick Conservative Party with a Pig Sticker as God s sheet told Peter
254;@curryspcworld absolutely shocking customer service at your branch in Colliers Wood - disgraceful;-1;absolutely shocking customer service at your branch in Colliers Wood disgraceful
255;#SONY EXTRA BASS SRS-XB10 Portable Bluetooth Wireless Speaker at Currys/ebay, 39.99  #lduk via @LatestDealsUK;0;EXTRA BASS SRS XB Portable Bluetooth Wireless Speaker at Currys ebay via
256;"#Currys - 10% off marked price on all built-in appliances over 349. - #PromoCode -&gt;  ";0;off marked price on all built in appliances over
257;@curryspcworld disgusted with the service I received today by your delivery team!!  #rude #poorservice #nothappy;-1;disgusted with the service I received today by your delivery team
258;@AcerUK_Official I am so disappointed that none has got back to me regarding my late grandfather? computer. Should an Acer aspire desktop PC stop working after 6months!! @curryspcworld @Acer;-1;I am so disappointed that none has got back to me regarding my late grandfather computer Should an Acer aspire desktop PC stop working after 6months
259;@Snootus @curryspcworld hello I want to report a thieft;-1;hello I want to report a thieft
260;@reannaox @curryspcworld Same here. Damaged tv delivered last week and now they say they can't replace until maybe Friday!! But I can order it online for tomorrow! Worst customer service ever;-1;Same here Damaged tv delivered last week and now they say they cannot replace until maybe Friday But I can order it online for tomorrow Worst customer service ever
261;@KerryHuband @curryspcworld I paid for next delivery, it arrived late AND faulty  I now have to wait for them to collect it before they send a new one out! ;-1;I paid for next delivery it arrived late AND faulty I now have to wait for them to collect it before they send a new one out
262;@reannaox @curryspcworld Ours is like that at the back. You'll be waiting ages...they say they'll call but never do then stuck on hold for upto an hr. Will be over a week by the time we get a replacement. Hope you get it sorted;-1;Ours is like that at the back You ll be waiting ages they say they shall they will call but never do then stuck on hold for upto an hr Will be over a week by the time we get a replacement Hope you get it sorted
263;@KerryHuband @curryspcworld You too.. fingers crossed;1;You too fingers crossed
264;"@Beko @BekoUK can I get free fridgefreezer if i improve your sales?
@curryspcworld dont show #beko fridgesfreezers if you filter  height or width.54.5cm width &amp; 152.8cm height don't work or have no option in filter so they don't show when applied.Ev";-1;can I get free fridgefreezer if i improve your sales dont show fridgesfreezers if you filter height or width cm width cm height do not work or have no option in filter so they do not show when applied Ev
265;@VivienneBroom @curryspcworld This is the third complaint I?e heard about @curryspcworld in the last week?! Seems to have really gone downhill. Richard doesn? seem too bothered @VivienneBroom I? take it higher.;-1;This is the third complaint I e heard about in the last week Seems to have really gone downhill Richard doesn seem too bothered I take it higher
266;How is it my laptop goes in for repair and it comes back slower and worse then when it went in?!  @curryspcworld;-1;How is it my laptop goes in for repair and it comes back slower and worse then when it went in
267;Bought new laptop from Curry? for my daughters birthday, to help with her GCSE? 37 days ago and now not working they won? replace because it? over 31 days old. Curry? disgustingly unhelpful  can? repair for 10 days, shouldn? need repairing as it? new!!! @curryspcworld;-1;Bought new laptop from Curry for my daughters birthday to help with her GCSE days ago and now not working they won replace because it over days old Curry disgustingly unhelpful can repair for days shouldn need repairing as it new
268;@Miss_F1 @curryspcworld That? always a last resort for me, never trust them. Even after I spilled orange juice over mine! ;-1;That always a last resort for me never trust them Even after I spilled orange juice over mine
269;@LouisSuddaby23 @curryspcworld Seriously it's doing my head in  never had a problem with them before. Might take a leaf out of your book ;-1;Seriously it has it is doing my head in never had a problem with them before Might take a leaf out of your book
270;@Miss_F1 @curryspcworld Don? spill a drink all over it, if that? what you mean! ;-1;Don spill a drink all over it if that what you mean
271;@LouisSuddaby23 @curryspcworld That and not rely on PC World anymore  now my phone is playing up  I want to cry ;-1;That and not rely on PC World anymore now my phone is playing up I want to cry
